a	aː
yfirdrifinni	ɪː v ɪ r t r ɪ v ɪ n ɪ
yfirdrifnum	ɪː v ɪ r t r ɪ p n ʏ m
yfirfara	ɪː v ɪ r f aː r a
yfirferð	ɪː v ɪ r f ɛ r ð
yfirferðar	ɪː v ɪ r f ɛ r ð a r
yfirferðinni	ɪː v ɪ r f ɛ r ð ɪ n ɪ
yfirflokka	ɪː v ɪ r f l ɔ h k a
yfirforingi	ɪː v ɪ r f ɔː r i ɲ c ɪ
yfirforingja	ɪː v ɪ r f ɔː r i ɲ c a
yfirfæra	ɪː v ɪ r f ai r a
yfirfærist	ɪː v ɪ r f ai r ɪ s t
yfirfært	ɪː v ɪ r f ai r̥ t
yfirfærð	ɪː v ɪ r f ai r ð
yfirfærðri	ɪː v ɪ r f ai r ð r ɪ
yfirgaf	ɪː v ɪ r k aː v
yfirgafstu	ɪː v ɪ r k a f s t ʏ
yfirgaldrameistara	ɪː v ɪ r k a l t r a m ei s t a r a
yfirgaldrameistari	ɪː v ɪ r k a l t r a m ei s t a r ɪ
yfirgaldrameistarinn	ɪː v ɪ r k a l t r a m ei s t a r ɪ n
yfirgang	ɪː v ɪ r k au ŋ k
yfirgangi	ɪː v ɪ r k au ɲ c ɪ
yfirgangssamur	ɪː v ɪ r k au ŋ s aː m ʏ r
yfirgefa	ɪː v ɪ r c ɛː v a
yfirgefi	ɪː v ɪ r c ɛː v ɪ
yfirgefið	ɪː v ɪ r c ɛː v ɪ ð
yfirgefur	ɪː v ɪ r c ɛː v ʏ r
yfirgefðu	ɪː v ɪ r c ɛ v ð ʏ
yfirgnæfandi	ɪː v ɪ r k n aiː v a n t ɪ
yfirgnæft	ɪː v ɪ r k n ai f t
yfirgripsmikil	ɪː v ɪ r k r ɪ p s m ɪː c ɪ l
yfirgáfu	ɪː v ɪ r k au v ʏ
yfirhafnarlaus	ɪː v ɪ r h a p n a r l œyː s
yfirheiti	ɪː v ɪ r h ei t ɪ
yfirheyra	ɪː v ɪ r h ei r a
yfirheyrir	ɪː v ɪ r h ei r ɪ r
yfirheyrsla	ɪː v ɪ r h ei r̥ s t l a
yfirheyrslan	ɪː v ɪ r h ei r̥ s t l a n
yfirheyrslu	ɪː v ɪ r h ei r̥ s t l ʏ
yfirheyrsluherbergi	ɪː v ɪ r h ei r̥ s t l ʏ h ɛ r p ɛ c ɪ
yfirheyrsluherbergið	ɪː v ɪ r h ei r̥ s t l ʏ h ɛ r p ɛ c ɪ ð
yfirheyrslum	ɪː v ɪ r h ei r̥ s t l ʏ m
yfirheyrslunnar	ɪː v ɪ r h ei r̥ s t l ʏ n a r
yfirheyrslunni	ɪː v ɪ r h ei r̥ s t l ʏ n ɪ
yfirheyrslunum	ɪː v ɪ r h ei r̥ s t l ʏ n ʏ m
yfirheyrslur	ɪː v ɪ r h ei r̥ s t l ʏ r
yfirheyrsluskýrslunnar	ɪː v ɪ r h ei r̥ s t l ʏ s c i s t l ʏ n a r
yfirheyrslutímanum	ɪː v ɪ r h ei r̥ s t l ʏ t iː m a n ʏ m
yfirheyrt	ɪː v ɪ r h ei r̥ t
yfirheyrð	ɪː v ɪ r h ei r ð
yfirheyrðir	ɪː v ɪ r h ei r ð ɪ r
yfirheyrður	ɪː v ɪ r h ei r ð ʏ r
yfirhirðsveininn	ɪː v ɪ r h ɪ r ð s v eiː n ɪ n
yfirhirðsveinn	ɪː v ɪ r h ɪ r ð s v ei t n̥
yfirhirðsveinninn	ɪː v ɪ r h ɪ r ð s v ei t n ɪ n
yfirhitna	ɪː v ɪ r h ɪ h t n a
yfirhylmingar	ɪː v ɪ r h ɪ l m i ŋ k a r
yfirhárin	ɪː v ɪ r h auː r ɪ n
yfirhárum	ɪː v ɪ r h auː r ʏ m
yfirhöfn	ɪː v ɪ r h œ p n̥
yfirhöfuð	ɪː v ɪ r h œː v ʏ ð
yfirhöndina	ɪː v ɪ r h œ n t ɪ n a
yfirhöndinni	ɪː v ɪ r h œ n t ɪ n ɪ
yfirhúð	ɪː v ɪ r h uː ð
yfirhúðin	ɪː v ɪ r h u ð ɪ n
yfirhúðina	ɪː v ɪ r h uː ð ɪ n a
yfirhúðinni	ɪː v ɪ r h uː ð ɪ n ɪ
yfirkjörstjórn	ɪː v ɪ r̥ c œ r̥ s t j ou r t n̥
yfirklukka	ɪː v ɪ r̥ k l ʏ h k a
yfirleit	ɪː v ɪ r l eiː t
yfirleitt	ɪː v ɪ r l ei h t
yfirlestur	ɪː v ɪ r l ɛ s t ʏ r
yfirlit	ɪː v ɪ r l ɪ t
yfirlitsgrein	ɪː v ɪ r l ɪ t s k r ei n
yfirlitsrit	ɪː v ɪ r l ɪ t s r ɪ t
yfirlitsritum	ɪː v ɪ r l ɪ t s r ɪ t ʏ m
yfirlitum	ɪː v ɪ r l ɪ t ʏ m
yfirlæknar	ɪː v ɪ r l ai h k n a r
yfirlæknir	ɪː v ɪ r l ai h k n ɪ r
yfirlæti	ɪː v ɪ r l ai t ɪ
yfirlætislaus	ɪː v ɪ r l ai t ɪ s t l œyː s
yfirlætislegur	ɪː v ɪ r l ai t ɪ s t l ɛ ɣ ʏ r
yfirlögregluþjónn	ɪː v ɪ r l œ ɣ r ɛ k l ʏ θ j ou t n̥
yfirlýsing	ɪː v ɪ r l iː s i ŋ k
yfirlýsingar	ɪː v ɪ r l iː s i ŋ k a r
yfirlýsingarnar	ɪː v ɪ r l iː s i ŋ k a t n a r
yfirlýsingin	ɪː v ɪ r l iː s i ɲ c ɪ n
yfirlýsingu	ɪː v ɪ r l iː s i ŋ k ʏ
yfirlýsingum	ɪː v ɪ r l iː s i ŋ k ʏ m
yfirlýst	ɪː v ɪ r l i s t
yfirlýstum	ɪː v ɪ r l i s t ʏ m
yfirmann	ɪː v ɪ r m a n
yfirmanna	ɪː v ɪ r m a n a
yfirmanni	ɪː v ɪ r m a n ɪ
yfirmanninum	ɪː v ɪ r m a n ɪ n ʏ m
yfirmanns	ɪː v ɪ r m a n s
yfirmaður	ɪː v ɪ r m a ð ʏ r
yfirmaðurinn	ɪː v ɪ r m a ð ʏ r ɪ n
yfirmenn	ɪː v ɪ r m ɛ n
yfirnáttúrleg	ɪː v ɪ r n au h t u r l ɛ ɣ
yfirnáttúrlega	ɪː v ɪ r n au h t u r l ɛ ɣ a
yfirnáttúrlegar	ɪː v ɪ r n au h t u r l ɛ ɣ a r
yfirnáttúrlegra	ɪː v ɪ r n au h t u r l ɛ ɣ r a
yfirnáttúruleg	ɪː v ɪ r n au h t u r ʏ l ɛ ɣ
yfirnáttúrulega	ɪː v ɪ r n au h t u r ʏ l ɛ ɣ a
yfirnáttúrulegir	ɪː v ɪ r n au h t u r ʏ l ei j ɪ r
yfirnáttúrulegu	ɪː v ɪ r n au h t u r ʏ l ɛ ɣ ʏ
yfirnáttúrulegum	ɪː v ɪ r n au h t u r ʏ l ɛ ɣ ʏ m
yfirprestur	ɪː v ɪ r p r ɛ s t ʏ r
yfirráð	ɪː v ɪ r̥ r au ð
yfirráðasvæði	ɪː v ɪ r̥ r au ð a s v ai ð ɪ
yfirráðum	ɪː v ɪ r̥ r au ð ʏ m
yfirsakadómara	ɪː v ɪ r s aː k a t ou m a r a
yfirsetuhvammur	ɪː v ɪ r s ɛ t ʏ kʰ v a m ʏ r
yfirsetustörf	ɪː v ɪ r s ɛ t ʏ s t œ r v
yfirsjálfið	ɪː v ɪ r s j au l v ɪ ð
yfirsjón	ɪː v ɪ r s j ou n
yfirskegg	ɪː v ɪ r s c ɛ k
yfirskeggið	ɪː v ɪ r s c ɛ c ɪ ð
yfirskilvitleg	ɪː v ɪ r s c ɪ l v ɪ t l ɛ ɣ
yfirskin	ɪː v ɪ r s c ɪː n
yfirskrift	ɪː v ɪ r s k r ɪ f t
yfirskriftinni	ɪː v ɪ r s k r ɪ f t ɪ n ɪ
yfirstaðið	ɪː v ɪ r s t aː ð ɪ ð
yfirsterkari	ɪː v ɪ r s t ɛ r̥ k a r ɪ
yfirstjórn	ɪː v ɪ r̥ s t j ou r t n̥
yfirstjórnar	ɪː v ɪ r̥ s t j ou r t n a r
yfirstétt	ɪː v ɪ r s t j ɛ h t
yfirstéttarinnar	ɪː v ɪ r s t j ɛ h t a r ɪ n a r
yfirstéttarmenn	ɪː v ɪ r s t j ɛ h t a r m ɛ n
yfirstéttin	ɪː v ɪ r s t j ɛ h t ɪ n
yfirstíga	ɪː v ɪ r s t iː ɣ a
yfirsést	ɪː v ɪ r s j ɛ s t
yfirsýn	ɪː v ɪ r s i n
yfirtaka	ɪː v ɪ r t a k a
yfirtakan	ɪː v ɪ r t a k a n
yfirtekið	ɪː v ɪ r t ɛː c ɪ ð
yfirtekur	ɪː v ɪ r t ɛː k ʏ r
yfirtók	ɪː v ɪ r t ou k
yfirtöku	ɪː v ɪ r t œ k ʏ
yfirtökuandi	ɪː v ɪ r t œ k ʏ a n t ɪ
yfirumsjón	ɪː v ɪ r ʏ m s j ou n
yfirvalda	ɪː v ɪ r v a l t a
yfirvaldi	ɪː v ɪ r v a l t ɪ
yfirvaldinu	ɪː v ɪ r v a l t ɪ n ʏ
yfirvaldið	ɪː v ɪ r v a l t ɪ ð
yfirvaraskegg	ɪː v ɪ r v a r a s c ɛ k
yfirvaraskeggið	ɪː v ɪ r v a r a s c ɛ c ɪ ð
yfirvegaða	ɪː v ɪ r v ɛː ɣ a ð a
yfirvegaðra	ɪː v ɪ r v ɛː ɣ a ð r a
yfirvegaður	ɪː v ɪ r v ɛː ɣ a ð ʏ r
yfirvegun	ɪː v ɪ r v ɛː ɣ ʏ n
yfirveguð	ɪː v ɪ r v ɛː ɣ ʏ ð
yfirveguðum	ɪː v ɪ r v ɛː ɣ ʏ ð ʏ m
yfirvinna	ɪː v ɪ r v ɪ n a
yfirvinnu	ɪː v ɪ r v ɪ n ʏ
yfirvinnubann	ɪː v ɪ r v ɪ n ʏ p a n
yfirvofandi	ɪː v ɪ r v ɔː v a n t ɪ
yfirvöld	ɪː v ɪ r v œ l t
yfirvöldin	ɪː v ɪ r v œ l t ɪ n
yfirvöldum	ɪː v ɪ r v œ l t ʏ m
yfirætt	ɪː v ɪ r ai h t
yfirættarinnar	ɪː v ɪ r ai h t a r ɪ n a r
yfirættin	ɪː v ɪ r ai h t ɪ n
yfirþjálfara	ɪː v ɪ r θ j au l v a r a
yfirþjálfari	ɪː v ɪ r θ j au l v a r ɪ
yfirþyrmandi	ɪː v ɪ r θ ɪ r m a n t ɪ
yggdrasil	ɪ t r aː s ɪ l
yggdrasill	ɪ t r a s ɪ t l̥
yggdrasils	ɪ t r aː s ɪ l s
yggla	ɪ l a
yggldi	ɪ l t ɪ
yglutjörn	ɪ k l ʏː t j œ r t n̥
yki	ɪː c ɪ
ykkar	ɪ h k a r
ykkur	ɪ h k ʏ r
yl	ɪː l
ylfa	ɪ l v a
ylfingar	ɪ l v i ŋ k a r
ylinn	ɪː l ɪ n
yljar	ɪ l j a r
yljaði	ɪ l j a ð ɪ
ylli	ɪ t l ɪ
ylur	ɪː l ʏ r
ylurinn	ɪː l ʏ r ɪ n
ylva	ɪ l v a
ynda	ɪ n t a
yndi	ɪ n t ɪ
yndisleg	ɪ n t ɪ s t l ɛ ɣ
yndislega	ɪ n t ɪ s t l ɛ ɣ a
yndislegar	ɪ n t ɪ s t l ɛ ɣ a r
yndislegt	ɪ n t ɪ s t l ɛ x t
yndislegur	ɪ n t ɪ s t l ɛ ɣ ʏ r
yngist	i ɲ c ɪ s t
yngjast	i ɲ c a s t
ynglinga	i ŋ k l i ŋ k a
yngra	i ŋ k r a
yngri	i ŋ k r ɪ
yngst	i ŋ s t
yngsta	i ŋ s t a
yngstabarnið	i ŋ s t a p a t n ɪ ð
yngsti	i ŋ s t ɪ
yngstu	i ŋ s t ʏ
yngstur	i ŋ s t ʏ r
yngva	i ŋ k v a
yngvar	i ŋ k v a r
yngvason	i ŋ k v a s ɔː n
yngvasonar	i ŋ k v a s ɔː n a r
yngvi	i ŋ k v ɪ
yngvildur	i ŋ k v ɪ l t ʏ r
ynni	ɪ n ɪ
yoktó	ɪ ɔ x t ou
york	ɪ ɔ r̥ k
yoruba	ɪ ɔː r ʏ p a
yossarians	ɪ ɔ s a r i j a n s
you	ɪ ɔ ʏ
young	ɪ ɔ u ŋ k
your	ɪ ɔ ʏ r
youtube	ɪ ɔ ʏː t ʏ p ɛ
yppi	ɪ h p ɪ
yppti	ɪ f t ɪ
ypptir	ɪ f t ɪ r
ypres	ɪ p r ɛ s
yrjaheiði	ɪ r j a h eiː ð ɪ
yrjar	ɪ r j a r
yrjasker	ɪ r j a s c ɛ r
yrjatangi	ɪ r j a tʰ au ɲ c ɪ
yrki	ɪ r̥ c ɪ
yrkill	ɪ r̥ c ɪ t l̥
yrkir	ɪ r̥ c ɪ r
yrkisefni	ɪ r̥ c ɪ s ɛ p n ɪ
yrkja	ɪ r̥ c a
yrkjans	ɪ r̥ c a n s
yrpulág	ɪ r̥ p ʏ l au h
yrsa	ɪ r̥ s a
yrsu	ɪ r̥ s ʏ
yrt	ɪ r̥ t
yrða	ɪ r ð a
yrði	ɪ r ð ɪ
yrðir	ɪ r ð ɪ r
yrðlingarnir	ɪ r ð l i ŋ k a t n ɪ r
yrðu	ɪ r ð ʏ
yrðum	ɪ r ð ʏ m
ys	ɪː s
yst	ɪ s t
ysta	ɪ s t a
ystaborg	ɪ s t a p ɔ r k
ystadal	ɪ s t a t aː l
ystadalsá	ɪ s t a t a l s auː
ystahvolf	ɪ s t a kʰ v ɔ l v
ystaklif	ɪ s t a k l ɪ v
ystalág	ɪ s t a l auː
ystanýrækt	ɪ s t a n i r ai x t
ystapartshraungarður	ɪ s t aː p a r̥ t s r̥ œy n k a r ð ʏ r
ystasel	ɪ s t a s ɛː l
ystastykki	ɪ s t a s t ɪ h c ɪ
ystasundslækur	ɪ s t a s ʏ n t s t l aiː k ʏ r
ystavegsbarð	ɪ s t a v ɛ x s p a r ð
ystey	ɪ s t ei
ysteyjarhólmar	ɪ s t ei j a r h ou l m a r
ysteyjarsund	ɪ s t ei j a r s ʏ n t
ysti	ɪ s t ɪ
ystiboði	ɪ s t ɪ p ɔː ð ɪ
ystibær	ɪ s t ɪ p ai r
ystidalur	ɪ s t ɪ t aː l ʏ r
ystigeiri	ɪ s t ɪ c ei r ɪ
ystihvammur	ɪ s t ɪ kʰ v a m ʏ r
ystihöfði	ɪ s t ɪ h œ v ð ɪ
ystiklofi	ɪ s t ɪ h k l ɔ v ɪ
ystilækur	ɪ s t ɪ l aiː k ʏ r
ystirindi	ɪ s t ɪ r ɪ n t ɪ
ystiás	ɪ s t ɪ auː s
ystu	ɪ s t ʏ
ystubakkar	ɪ s t ʏ p a h k a r
ystumóar	ɪ s t ʏ m ouː a r
ystur	ɪ s t ʏ r
yta	ɪː t a
ytra	ɪː t r a
ytrahraun	ɪː t r a r̥ œyː n
ytraklif	ɪː t r a k l ɪ v
ytranes	ɪː t r a n ɛː s
ytrastykki	ɪː t r a s t ɪ h c ɪ
ytrasíki	ɪː t r a s iː c ɪ
ytri	ɪː t r ɪ
ytribotn	ɪː t r ɪ p ɔ h t n̥
ytribotnalækur	ɪː t r ɪ p ɔ h t n a l aiː k ʏ r
ytribás	ɪː t r ɪ p auː s
ytribörð	ɪː t r ɪ p œ r ð
ytridalur	ɪː t r ɪ t aː l ʏ r
ytriflá	ɪː t r ɪ v l au
ytriforir	ɪː t r ɪ f ɔː r ɪ r
ytrihlíð	ɪː t r ɪ l̥ iː ð
ytrihvammar	ɪː t r ɪ kʰ v a m a r
ytrihvammur	ɪː t r ɪ kʰ v a m ʏ r
ytrihöfði	ɪː t r ɪ h œ v ð ɪ
ytrikrókur	ɪː t r ɪ k r ouː k ʏ r
ytrikvíslarfarvegur	ɪː t r ɪ k v i s t l a r f a r v ɛ ɣ ʏ r
ytrilágar	ɪː t r ɪ l auː a r
ytrimelur	ɪː t r ɪ m ɛː l ʏ r
ytrimosar	ɪː t r ɪ m ɔː s a r
ytrimóar	ɪː t r ɪ m ouː a r
ytrimýrar	ɪː t r ɪ m i r a r
ytriskor	ɪː t r ɪ s k ɔ r
ytriskák	ɪː t r ɪ s k auː k
ytritangi	ɪː t r ɪ t au ɲ c ɪ
ytritoppar	ɪː t r ɪ t ɔ h p a r
ytrivarða	ɪː t r ɪ v a r ð a
ytrivöð	ɪː t r ɪ v œː ð
ytrárfjall	ɪː t r au r f j a t l̥
yuan	ɪ ʏ a n
yxn	ɪː k s t n̥
yxna	ɪː k s t n a
yxnirnir	ɪː k s t n ɪ t n ɪ r
yxnunum	ɪː k s t n ɔ n ʏ m
yztabæliskot	ɪ s t a p aiː l ɪ s k ɔ t
yztagil	ɪ s t a c ɪ l
yðar	ɪː ð a r
yðr	ɪ ð r
yðsti	ɪ ð s t ɪ
yðstikjölur	ɪ ð s t ɪː c œː l ʏ r
yður	ɪː ð ʏ r
zara	t aː r a
zetan	t ɛː t a n
zophía	t ɔː p i j a
á	auː
áa	auː a
áadalsþýfi	auː a t a l s θ iː v ɪ
áarhólmar	auː a r h ou l m a r
ábati	auː p a t ɪ
ábending	auː p ɛ n t i ŋ k
ábendingar	auː p ɛ n t i ŋ k a r
ábendingarfornafn	auː p ɛ n t i ŋ k a r f ɔ r n a p n̥
ábendingarfornafnið	auː p ɛ n t i ŋ k a r f ɔ r n a p n ɪ ð
ábendingarnar	auː p ɛ n t i ŋ k a t n a r
ábendingu	auː p ɛ n t i ŋ k ʏ
ábendingum	auː p ɛ n t i ŋ k ʏ m
áberandi	auː p ɛ r a n t ɪ
áblástur	auː p l au s t ʏ r
ábrystir	auː p r ɪ s t ɪ r
áburð	auː p ʏ r ð
áburðargjafar	auː p ʏ r ð a r c a v a r
áburðarkornunum	auː p ʏ r ð a r k ɔ t n ɔ n ʏ m
áburðarsprengingin	auː p ʏ r ð a r s p r ei ɲ c i ɲ c ɪ n
áburðarsprengju	auː p ʏ r ð a r s p r ei ɲ c ʏ
áburðaráhrifum	auː p ʏ r ð a r auː r̥ ɪ v ʏ m
áburði	auː p ʏ r ð ɪ
áburðinum	auː p ʏ r ð ɪ n ʏ m
áburður	auː p ʏ r ð ʏ r
ábyggilega	auː p ɪ c ɪ l ɛ ɣ a
ábyrg	auː p ɪ r k
ábyrgari	auː p ɪ r k a r ɪ
ábyrgist	auː p ɪ r c ɪ s t
ábyrgjast	auː p ɪ r c a s t
ábyrgst	auː p ɪ r̥ s t
ábyrgur	auː p ɪ r k ʏ r
ábyrgð	auː p ɪ r ð
ábyrgðar	auː p ɪ r ð a r
ábyrgðaraðildina	auː p ɪ r ð a r aː ð ɪ l t ɪ n a
ábyrgðarlaus	auː p ɪ r ð a l œyː s
ábyrgðarleysi	auː p ɪ r ð a r l eiː s ɪ
ábyrgðarmenn	auː p ɪ r ð a r m ɛ n
ábyrgðarstörfum	auː p ɪ r ð a r s t œ r v ʏ m
ábyrgðarstöðum	auː p ɪ r ð a r s t œː ð ʏ m
ábyrgðarsvið	auː p ɪ r ð a r s v ɪː ð
ábyrgðartilfinningu	auː p ɪ r ð a r t ɪ l f ɪ n i ŋ k ʏ
ábyrgðin	auː p ɪ r ð ɪ n
ábyrgðina	auː p ɪ r ð ɪ n a
ábyrgðinni	auː p ɪ r ð ɪ n ɪ
ábót	auː p ou t
ábótadæminu	auː p ou t a t ai m ɪ n ʏ
ábótalækur	auː p ou t a l aiː k ʏ r
ábótavant	auː p ou t a v a n̥ t
ábóti	auː p ou t ɪ
ábúandi	auː p u a n t ɪ
ábúenda	auː p u ɛ n t a
ábúendum	auː p u ɛ n t ʏ m
ábúendur	auː p u ɛ n t ʏ r
ábúð	auː p u ð
ádeiluverkum	auː t ei l ʏ v ɛ r̥ k ʏ m
ádrepu	auː t r ɛː p ʏ
ádrátt	auː t r au h t
áfall	auː f a t l̥
áfalladagur	auː f a t l a t a ɣ ʏ r
áfallahjálp	auː f a t l̥ a ç au l̥ p
áfallahjálpin	auː f a t l̥ a ç au l̥ p ɪ n
áfallakreppu	auː f a t l a kʰ r ɛ h p ʏ
áfallasögu	auː f a t l a s œː ɣ ʏ
áfallið	auː f a t l ɪ ð
áfallnir	auː f a t l̥ n ɪ r
áfanga	auː f au ŋ k a
áfangafellshali	auː f au ŋ k a f ɛ l s h aː l ɪ
áfangaklettur	auː f au ŋ k a k l ɛ h t ʏ r
áfanganum	auː f au ŋ k a n ʏ m
áfangaritgerð	auː f au ŋ k a r ɪː t c ɛ r ð
áfangastað	auː f au ŋ k a s t aː ð
áfangastaði	auː f au ŋ k a s t a ð ɪ
áfangastaður	auː f au ŋ k a s t aː ð ʏ r
áfangastöðum	auː f au ŋ k a s t œː ð ʏ m
áfangastöðunum	auː f au ŋ k a s t œː ð ɔ n ʏ m
áfangatjörn	auː f au ŋ k a tʰ j œ r t n̥
áfangi	auː f au ɲ c ɪ
áfastur	auː f a s t ʏ r
áfellast	auː f ɛ t l a s t
áfellisdómur	auː f ɛ t l ɪ s t ou m ʏ r
áfenga	auː f ei ŋ k a
áfengan	auː f ei ŋ k a n
áfengi	auː f ei ɲ c ɪ
áfenginu	auː f ei ɲ c ɪ n ʏ
áfengir	auː f ei ɲ c ɪ r
áfengis	auː f ei ɲ c ɪ s
áfengisauglýsingar	auː f ei ɲ c ɪ s œy ɣ l i s i ŋ k a r
áfengisdrykkja	auː f ei ɲ c ɪ s t r ɪ h c a
áfengiskaupa	auː f ei ɲ c ɪ s k œy p a
áfengislykt	auː f ei ɲ c ɪ s t l ɪ x t
áfengisneysla	auː f ei ɲ c ɪ s t n ei s t l a
áfengisneyslu	auː f ei ɲ c ɪ s t n ei s t l ʏ
áfengissjúklinga	auː f ei ɲ c ɪ s j u h k l i ŋ k a
áfengissmygl	auː f ei ɲ c ɪ s m ɪ k l̥
áfengissölu	auː f ei ɲ c ɪ s œː l ʏ
áfengissýki	auː f ei ɲ c ɪ s iː c ɪ
áfengistegundum	auː f ei ɲ c ɪ s t ɛː ɣ ʏ n t ʏ m
áfengisþoli	auː f ei ɲ c ɪ s θ ɔː l ɪ
áfengið	auː f ei ɲ c ɪ ð
áfengra	auː f ei ŋ k r a
áfengt	auː f ei ŋ̊ t
áfengum	auː f ei ŋ k ʏ m
áfergjan	auː f ɛ r c a n
áfergju	auː f ɛ r c ʏ
áferð	auː f ɛ r ð
áferðin	auː f ɛ r ð ɪ n
áfjáður	auː f j au ð ʏ r
áfloga	auː f l ɔː ɣ a
áflogum	auː f l ɔː ɣ ʏ m
áform	auː f ɔ r m
áformað	auː f ɔ r m a ð
áformin	auː f ɔ r m ɪ n
áformum	auː f ɔ r m ʏ m
áfram	auː f r a m
áframhald	auː f r a m h a l t
áframhaldandi	auː f r a m h a l t a n t ɪ
áframhaldi	auː f r a m h a l t ɪ
áframsendi	auː f r a m s ɛ n t ɪ
áfrýja	auː f r i j a
áfrýjað	auː f r i j a ð
áfrýjun	auː f r i j ʏ n
áfrýjunarnefnd	auː f r i j ʏ n a r n ɛ m t
áfrýjuðu	auː f r i j ʏ ð ʏ
áfyllingu	auː f ɪ t l i ŋ k ʏ
áfátt	auː f au h t
áföll	auː f œ t l̥
áföllin	auː f œ t l ɪ n
áföngum	auː f œy ŋ k ʏ m
ágang	auː k au ŋ k
ágangs	auː k au ŋ s
ágeng	auː c ei ŋ k
ágengari	auː c ei ŋ k a r ɪ
ágengt	auː c ei ŋ̊ t
ágerist	auː c ɛ r ɪ s t
ágirndin	auː c ɪ r n t ɪ n
ágiskanir	auː c ɪ s k a n ɪ r
ágiskun	auː c ɪ s k ʏ n
ágiskunin	auː c ɪ s k ʏ n ɪ n
ágreining	auː k r ei n i ŋ k
ágreiningi	auː k r ei n i ɲ c ɪ
ágreinings	auː k r ei n i ŋ s
ágreiningsefni	auː k r ei n i ŋ s ɛ p n ɪ
ágreiningsmál	auː k r ei n i ŋ s m au l
ágreiningur	auː k r ei n i ŋ k ʏ r
ágrip	auː k r ɪ p
ágæt	auː c ai t
ágæta	auː c ai t a
ágætar	auː c ai t a r
ágætasta	auː c ai t a s t a
ágæti	auː c ai t ɪ
ágætir	auː c ai t ɪ r
ágætis	auː c ai t ɪ s
ágætlega	auː c ai t l ɛ ɣ a
ágætt	auː c ai h t
ágætu	auː c ai t ʏ
ágætum	auː c ai t ʏ m
ágætur	auː c ai t ʏ r
ágóða	auː k ou ð a
ágóðinn	auː k ou ð ɪ n
ágúst	auː k u s t
ágústa	auː k u s t a
ágústar	auː k u s t a r
ágústlok	auː k u s t l ɔ k
ágústnótt	auː k u s t n ou h t
ágústs	auː k u s
ágústsdóttir	auː k u s t ou h t ɪ r
ágústsson	auː k u s ɔː n
ágústu	auː k u s t ʏ
ágústus	auː k u s t ʏ s
ágústínus	auː k u s t i n ʏ s
ágústínusar	auː k u s t i n ʏ s a r
áhafnar	auː h a p n a r
áhafnarinnar	auː h a p n a r ɪ n a r
áhafnarklefinn	auː h a p n a r k l ɛː v ɪ n
áhafnarmeðlima	auː h a p n a r m ɛ ð l ɪ m a
áhafnirnar	auː h a p n ɪ t n a r
áhald	auː h a l t
áhalda	auː h a l t a
áhaldahús	auː h a l t a h u s
áhangendur	auː h au ŋ k ɛ n t ʏ r
áheit	auː h ei t
áhersla	auː h ɛ r̥ s t l a
áherslan	auː h ɛ r̥ s t l a n
áherslu	auː h ɛ r̥ s t l ʏ
áherslubreytingar	auː h ɛ r̥ s t l ʏ p r ei t i ŋ k a r
áhersluforliðnum	auː h ɛ r̥ s t l ʏ f ɔ r l ɪ ð n ʏ m
áhersluléttra	auː h ɛ r̥ s t l ʏ l j ɛ h t r a
áherslum	auː h ɛ r̥ s t l ʏ m
áhersluorð	auː h ɛ r̥ s t l ʏ ɔ r ð
áherslur	auː h ɛ r̥ s t l ʏ r
áhersluþunga	auː h ɛ r̥ s t l ʏ θ u ŋ k a
áheyrendahópur	auː h ei r ɛ n t a h ouː p ʏ r
áheyrendum	auː h ei r ɛ n t ʏ m
áheyrn	auː h ei r t n̥
áheyrnar	auː h ei r t n a r
áheyrnarfulltrúa	auː h ei r t n a r f ʏ t l̥ t r u a
áhlaupi	auː l̥ œy p ɪ
áhlaupum	auː l̥ œy p ʏ m
áhleypuskurður	auː l̥ ei p ʏ s k ʏ r ð ʏ r
áhorendum	auː h ɔ r ɛ n t ʏ m
áhorfanda	auː h ɔ r v a n t a
áhorfandanum	auː h ɔ r v a n t a n ʏ m
áhorfandi	auː h ɔ r v a n t ɪ
áhorfenda	auː h ɔ r v ɛ n t a
áhorfendahópnum	auː h ɔ r v ɛ n t a h ou h p n ʏ m
áhorfendanna	auː h ɔ r v ɛ n t a n a
áhorfendaskarann	auː h ɔ r v ɛ n t a s k a r a n
áhorfendum	auː h ɔ r v ɛ n t ʏ m
áhorfendur	auː h ɔ r v ɛ n t ʏ r
áhorfendurnir	auː h ɔ r v ɛ n t ʏ t n ɪ r
áhorfstölur	auː h ɔ r v s t œ l ʏ r
áhrif	auː r̥ ɪ v
áhrifa	auː r̥ ɪ v a
áhrifameira	auː r̥ ɪ v a m eiː r a
áhrifameiri	auː r̥ ɪ v a m eiː r ɪ
áhrifamenn	auː r̥ ɪ v a m ɛ n
áhrifamesta	auː r̥ ɪ v a m ɛ s t a
áhrifamesti	auː r̥ ɪ v a m ɛ s t ɪ
áhrifamestu	auː r̥ ɪ v a m ɛ s t ʏ
áhrifamikil	auː r̥ ɪ v a m ɪː c ɪ l
áhrifamikill	auː r̥ ɪ v a m ɪː c ɪ t l̥
áhrifamikilla	auː r̥ ɪ v a m ɪː c ɪ t l a
áhrifamikinn	auː r̥ ɪ v a m ɪː c ɪ n
áhrifamikið	auː r̥ ɪ v a m ɪː c ɪ ð
áhrifamikla	auː r̥ ɪ v a m ɪ h k l a
